country,date_month_string,monthly_vaccinations_per_country,monthly_vaccinations_per_million_per_country,date_month_number,monthly_vaccinations_globally
Comoros,2021-10,86762,97654,11,805830936
Comoros,2021-11,35192,39610,12,582593278
Congo,2021-04,13632,2416,5,533501731
Congo,2021-05,21077,3733,6,792994644
Congo,2021-06,63887,11297,7,1136984197
Congo,2021-07,86547,15295,8,1060429251
Congo,2021-08,97258,17189,9,1201442306
Congo,2021-09,46201,8164,10,969014866
Congo,2021-10,119287,21085,11,805830936
Congo,2021-11,116162,20534,12,582593278
Cook Islands,2021-05,3366,191556,6,792994644
Cook Islands,2021-06,12535,713351,7,1136984197
Cook Islands,2021-07,2301,130946,8,1060429251
Cook Islands,2021-08,1426,81158,9,1201442306
Cook Islands,2021-09,218,12413,10,969014866
Cook Islands,2021-10,1374,78190,11,805830936
Cook Islands,2021-11,320,18208,12,582593278
Costa Rica,2020-12,1680,329,1,8698776
Costa Rica,2021-01,51219,9967,2,93138028
Costa Rica,2021-02,69793,13581,3,170467452
Costa Rica,2021-03,258414,50287,4,340529467
Costa Rica,2021-04,457874,89098,5,533501731
Costa Rica,2021-05,719930,140090,6,792994644
Costa Rica,2021-06,861089,167557,7,1136984197
Costa Rica,2021-07,1026023,199650,8,1060429251
Costa Rica,2021-08,762797,148430,9,1201442306
Costa Rica,2021-09,1369450,266481,10,969014866
Costa Rica,2021-10,863172,167962,11,805830936
Costa Rica,2021-11,376828,73326,12,582593278
Cote d'Ivoire,2021-03,35498,1311,4,340529467
Cote d'Ivoire,2021-04,94802,3505,5,533501731
Cote d'Ivoire,2021-05,398773,14742,6,792994644
Cote d'Ivoire,2021-06,217397,8039,7,1136984197
Cote d'Ivoire,2021-07,218379,8071,8,1060429251
Cote d'Ivoire,2021-08,351244,12983,9,1201442306
Cote d'Ivoire,2021-09,692216,25586,10,969014866
Cote d'Ivoire,2021-10,1141411,42191,11,805830936
Cote d'Ivoire,2021-11,518853,19179,12,582593278
Croatia,2020-12,1105,271,1,8698776
Croatia,2021-01,71294,17469,2,93138028
Croatia,2021-02,113099,27710,3,170467452
Croatia,2021-03,247673,60679,4,340529467
Croatia,2021-04,389792,95498,5,533501731
Croatia,2021-05,877554,214999,6,792994644
Croatia,2021-06,828160,202899,7,1136984197
Croatia,2021-07,510186,124995,8,1060429251
Croatia,2021-08,211760,51882,9,1201442306
Croatia,2021-09,161477,39563,10,969014866
Croatia,2021-10,178880,43823,11,805830936
Croatia,2021-11,305369,74815,12,582593278
Cuba,2021-06,4223203,373160,7,1136984197
Cuba,2021-07,3572677,315674,8,1060429251
Cuba,2021-08,4260536,376455,9,1201442306
Cuba,2021-09,7027046,620905,10,969014866
Cuba,2021-10,5051561,446348,11,805830936
Cuba,2021-11,1868854,165129,12,582593278
Curacao,2021-03,1778,10789,4,340529467
Curacao,2021-04,70619,428523,5,533501731
Curacao,2021-05,60948,369836,6,792994644
Curacao,2021-06,16431,99706,7,1136984197
Curacao,2021-07,7677,46583,8,1060429251
Curacao,2021-08,7624,46264,9,1201442306
Curacao,2021-09,5030,30523,10,969014866
Curacao,2021-10,5764,34976,11,805830936
Curacao,2021-11,3696,22426,12,582593278
Cyprus,2021-01,21005,23444,2,93138028
Cyprus,2021-02,48644,54292,3,170467452
Cyprus,2021-03,75844,84646,4,340529467
Cyprus,2021-04,114264,127527,5,533501731
Cyprus,2021-05,316514,353249,6,792994644
Cyprus,2021-06,215033,239992,7,1136984197
Cyprus,2021-07,180833,201825,8,1060429251
Cyprus,2021-08,115118,128482,9,1201442306
Cyprus,2021-09,66173,73852,10,969014866
Cyprus,2021-10,57590,64273,11,805830936
Cyprus,2021-11,33975,37919,12,582593278
Czechia,2020-12,10933,1020,1,8698776
Czechia,2021-01,254124,23696,2,93138028
Czechia,2021-02,374972,34963,3,170467452
Czechia,2021-03,991448,92446,4,340529467
Czechia,2021-04,1376464,128347,5,533501731
Czechia,2021-05,2148723,200356,6,792994644
Czechia,2021-06,2857219,266417,7,1136984197
Czechia,2021-07,2227253,207679,8,1060429251
Czechia,2021-08,1204049,112271,9,1201442306
Czechia,2021-09,363167,33865,10,969014866
Czechia,2021-10,409041,38141,11,805830936
Czechia,2021-11,701184,65383,12,582593278
Democratic Republic of Congo,2021-04,3246,38,5,533501731
Democratic Republic of Congo,2021-05,18526,198,6,792994644
Democratic Republic of Congo,2021-06,36917,399,7,1136984197
Democratic Republic of Congo,2021-07,25331,272,8,1060429251
Democratic Republic of Congo,2021-08,10952,120,9,1201442306
Democratic Republic of Congo,2021-09,41272,450,10,969014866
Democratic Republic of Congo,2021-10,13091,146,11,805830936
Democratic Republic of Congo,2021-11,14551,159,12,582593278
Denmark,2020-12,12884,2216,1,8698776
Denmark,2021-01,209319,36008,2,93138028
Denmark,2021-02,317165,54557,3,170467452
Denmark,2021-03,496687,85439,4,340529467
Denmark,2021-04,815180,140227,5,533501731
Denmark,2021-05,1440426,247780,6,792994644
Denmark,2021-06,1785426,307126,7,1136984197
Denmark,2021-07,2109757,362922,8,1060429251
Denmark,2021-08,1325717,228051,9,1201442306
Denmark,2021-09,256794,44174,10,969014866
Denmark,2021-10,72302,12437,11,805830936
Denmark,2021-11,67032,11531,12,582593278
Djibouti,2021-04,3224,3213,5,533501731
Djibouti,2021-05,5438,5430,6,792994644
Djibouti,2021-06,10849,10817,7,1136984197
Djibouti,2021-07,17081,17050,8,1060429251
